district,province,urban_male,urban_female,urban_total,rural_male,rural_female,rural_total,total_male,total_female,total_both,year
Sozma Qala,Sar-i-Pul,,,0,24100,23300,47400,24100,23300,47400,1390
Sancharak,Sar-i-Pul,6100,5600,11700,43900,40900,84800,50000,46500,96500,1390
Gosfandi,Sar-i-Pul,,,0,26600,27500,54100,26600,27500,54100,1390
Balkhab,Sar-i-Pul,,,0,24700,23400,48100.004,24700,23400,48100.004,1390
province Center (Chighcheran),Ghor,3300,3200,6500,62400,60700,123100,65700,63900,129600.01,1390
Duleena,Ghor,,,0,17500,17000,34500,17500,17000,34500,1390
Dawlatyar,Ghor,,,0,15700,15500,31200,15700,15500,31200,1390
Char Sada,Ghor,,,0,13400,12800,26199.998,13400,12800,26199.998,1390
Pasaband,Ghor,,,0,46400,44300,90700.008,46400,44300,90700.008,1390
Shahrak,Ghor,,,0,29600,27600,57200,29600,27600,57200,1390
Lal-o-Sar-i-Jangal,Ghor,,,0,53900,53200,107100,53900,53200,107100,1390
Taywara,Ghor,,,0,45300,42100,87400,45300,42100,87400,1390
Tulak,Ghor,,,0,25400,23800,49200,25400,23800,49200,1390
Saghar,Ghor,,,0,17200,16000,33200,17200,16000,33200,1390
province Center (Nili),Dehkondi,,,0,20000,19000,39000,20000,19000,39000,1390
Shahrestan,Dehkondi,,,0,32700,30900,63600.004,32700,30900,63600.004,1390
Gizab,Dehkondi,1800,1700,3500,31500,29800,61300,33300,31500,64800.004,1390
Ishterlai,Dehkondi,,,0,23400,22100,45500,23400,22100,45500,1390
Khadeer,Dehkondi,,,0,22900,21700,44600,22900,21700,44600,1390
Giti,Dehkondi,,,0,16500,15500,32000,16500,15500,32000,1390
Mir Amor,Dehkondi,,,0,30700,29200,59900,30700,29200,59900,1390
Sang -e- Takht,Dehkondi,,,0,24800,23600,48399.996,24800,23600,48399.996,1390
Gujran,Dehkondi,,,0,17200,16300,33500,17200,16299.999,33500,1390
province Center (Tirinkot),Uruzghan,3200,3100,6300,47800,44100,91900,51000,47200,98200,1390
Dehraoud,Uruzghan,1600,1500,3100,28500,26600,55100,30100,28100,58200,1390
Chora,Uruzghan,,,0,24900,23900,48800,24900,23900,48800,1390
Shahidhassas,Uruzghan,,,0,28700,27800,56500,28700,27800,56500,1390
Khas Urozgan,Uruzghan,,,0,27900,26200,54100,27900,26200,54100,1390
Chinarto,Uruzghan,,,0,6300,5900,12200,6300,5900,12200,1390
province Center (Qalat),Zabul,5800,5400,11200,11500,11000,22500,17300,16400,33700,1390
Tarang Wa Jaldak,Zabul,,,0,8400,8000,16400,8400,8000,16400,1390
Shinkai,Zabul,,,0,11600,10900,22500,11600,10900,22500,1390
Mizan,Zabul,,,0,6700,6400,13099.999,6700,6400,13099.999,1390
Arghandab,Zabul,,,0,16100,15200,31300.002,16100,15200,31300.002,1390
Shah Joi,Zabul,,,0,28700,27200,55900,28700,27200,55900,1390
Daichopan,Zabul,,,0,19200,18400,37600.004,19200,18400,37600.004,1390
Atghar,Zabul,,,0,4300,4100,8400.001,4300,4100,8400.001,1390
Naw Bahar,Zabul,,,0,9100,8900,18000,9100,8900,18000,1390
Shemel Zayi,Zabul,,,0,12800,11900,24700,12800,11900,24700,1390
Kakar (khak-e-afghan),Zabul,,,0,11800,11200,23000,11800,11200,23000,1390
province Center (Kandahar),Kandhar,198500,187200,385700,69300,66100,135400.02,267800,253300,521099.97,1390
Arghandab,Kandhar,,,0,30500,28800,59300,30500,28800,59300,1390
Daman,Kandhar,,,0,17100,16100,33200,17100,16100,33200,1390
Panjwayee,Kandhar,,,0,42400,40900,83300,42400,40900,83300,1390
Zhire,Kandhar,,,0,42000,40000,82000,42000,40000,82000,1390
Shah Wali Kot,Kandhar,,,0,21200,20200,41400,21200,20200,41400,1390
Khakrez,Kandhar,,,0,11100,10700,21800.002,11100,10700,21800.002,1390
Arghistan,Kandhar,,,0,16900,16100,33000,16900,16100,33000,1390
Ghorak,Kandhar,,,0,4700,4500,9200,4700,4500,9200,1390
Maiwand,Kandhar,,,0,28400,27600,56000,28400,27600,56000,1390
Spin Boldak,Kandhar,,,0,55800,52600,108400,55800,52600,108400,1390
Nesh,Kandhar,,,0,6500,6300,12800,6500,6300,12800,1390
Miyanishin,Kandhar,,,0,7400,7000,14400,7400,7000,14400,1390
Shorabak,Kandhar,,,0,5600,5400,11000,5600,5400,11000,1390
Maruf,Kandhar,,,0,16200,15400,31600,16200.001,15400,31600,1390
Reg,Kandhar,,,0,4400,4100,8500,4400,4100,8500,1390
province Center (Sheberghan),Juzjan,37900,36900,74800,42500,41400,83900,80400,78300,158700,1390
Khwaja Dukoh,Juzjan,,,0,13200,12600,25800,13200,12600,25800,1390
Khanaqa,Juzjan,,,0,19100,18600,37700,19100,18600,37700,1390
Mingajik,Juzjan,,,0,21000,20000,41000,21000,20000,41000,1390
Qush Tepa,Juzjan,,,0,11500,11000,22500,11500,11000,22500,1390
Khamyab,Juzjan,,,0,6900,6500,13400,6900,6500,13400,1390
Aqchah,Juzjan,11400,11000,22400,17600,17100,34700,29000,28100,57100,1390
Faizabad,Juzjan,,,0,20300,19400,39700,20300,19400,39700,1390
Mardyan,Juzjan,,,0,18700,18200,36900,18700,18200,36900,1390
Qarqin,Juzjan,3700,3400,7100,8300,8100,16400,12000,11500,23500,1390
Darzab,Juzjan,900,900,1800,23000,22000,45000,23900,22900,46800,1390
province Center (Maimana),Faryab,39200,37500,76700,,,0,39200,37500,76700,1390
Pashtun kot,Faryab,,,0,92800,87700,180500,92800,87700,180500,1390
Khuwaja Sabz Posh –i-Wali,Faryab,,,0,25000,23600,48600,25000,23600,48600,1390
Almar,Faryab,,,0,34100,33200,67299.992,34100,33200,67299.992,1390
Balcheragh,Faryab,,,0,25600,24300,49900,25600,24300,49900,1390
Sherin Tagab,Faryab,,,0,39800,38100,77900,39800,38100,77900,1390
Qaisar,Faryab,,,0,69700,66500,136200,69700,66500,136200,1390
Garziwan,Faryab,,,0,36800,35700,72500,36800,35700,72500,1390
Dawlat Abad,Faryab,2400,2300,4700.0005,21300,20500,41800,23700,22800,46500,1390
Hissa-e-Awali Kohistan,Faryab,,,0,26500,25600,52100,26500,25600,52100,1390
Qaram Qul,Faryab,,,0,9400,9300,18699.998,9400,9300,18699.998,1390
Qurghan,Faryab,,,0,22800,22200,45000,22800,22200,45000,1390
Andkhoy,Faryab,15200,15100,30300,3800,3700,7500,19000,18800.002,37800,1390
Khan –i-Charbagh,Faryab,,,0,11200,10900,22100,11200,10900,22100,1390
province Center (Lashkargah),Helmand,21300,19300,40600,29600,28100,57700,50899.996,47399.996,98299.992,1390
Nad Ali,Helmand,,,0,57900,55100,113000,57900,55100,113000,1390
Nawa-i- Barikzayi,Helmand,,,0,45600,43300,88900,45600,43300,88900,1390
Nahr-i- Saraj,Helmand,5000,4600,9600,52600,50000,102600,57600,54600,112200,1390
Washer,Helmand,,,0,7600,7300,14900,7600,7300,14900,1390
Garm Ser,Helmand,,,0,43200,40900,84100,43200,40900,84100,1390
Nawzad,Helmand,,,0,24900,23700,48600,24900,23700,48600,1390
Sangin,Helmand,,,0,29300,27900,57200,29300,27900,57200,1390
Musa Qala,Helmand,,,0,29000,27500,56500,29000,27500,56500,1390
Kajaki,Helmand,,,0,35000,33300,68300,35000,33300,68300,1390
Reg-i-Khan Nishin,Helmand,,,0,12900,12200,25100,12900,12200,25100,1390
Baghran,Helmand,,,0,40000,38000,78000,40000,38000,78000,1390
Dishu,Helmand,,,0,10000,9500,19500,10000,9500,19500,1390
province Center (Qala-i- Now),Badghis,6900,6600,13500,25300,24200,49500,32200,30800,63000,1390
Ab Kamari,Badghis,,,0,36000,34400,70400,36000,34400,70400,1390
Muqur,Badghis,,,0,11600,11100,22700,11600,11100,22700,1390
Qadis,Badghis,,,0,44800,42200,87000,44800,42200,87000,1390
Murghab,Badghis,,,0,47500,45400,92900,47500,45400,92900,1390
Jawand,Badghis,,,0,38200,37200,75400,38200,37200,75400,1390
Ghormach,Badghis,,,0,26900,25800,52700,26900,25800,52700,1390
province Center (Herat),Herat,215000,208300,423300,,,0,215000,208300,423300,1390
Enjil,Herat,,,0,118900,115000,233900,118900,115000,233900,1390
Guzera (Nizam-i- Shahid),Herat,,,0,71100,69200,140300,71100,69200,140300,1390
Karrukh,Herat,3300,3100,6400,27500,27100,54600,30800,30200,61000,1390
Zendahjan,Herat,,,0,27400,27200,54600,27400,27200,54600,1390
Pashtun Zarghun,Herat,,,0,48900,47000,95900,48900,47000,95900,1390
Kushk (Rubat-i-Sangi),Herat,7900,7900,15800,52100,50900,103000,60000,58800,118800,1390
Gulran,Herat,,,0,45100,45000,90100,45100,45000,90100,1390
Adraskan,Herat,,,0,25900,25500,51400,25900,25500,51400,1390
Kushk-i- Kuhna,Herat,,,0,22100,21600,43700,22100,21600,43700,1390
Ghoryan,Herat,16400,15700,32099.998,26400,25800,52200,42800,41500,84300,1390
Obeh,Herat,1600,1600,3200,35200,33900,69100,36800,35500,72300,1390
Kohsan,Herat,,,0,26100,26000,52100,26100,26000,52100,1390
Shindand,Herat,2500,2200,4700,83600,82600,166200,86100,84800,170900.02,1390
Farsi,Herat,,,0,15200,14200,29400,15200,14200,29400,1390
Chishti Sharif,Herat,,,0,11600,11100,22700,11600,11100,22700,1390
province Center (Farah),Farah,17700,16500,34200,36900,35300,72200.008,54600.004,51800,106400,1390
Posht Road,Farah,,,0,20000,18900,38900,20000,18900,38900,1390
Khak-i-safed,Farah,,,0,14700,14300,29000,14700,14300,29000,1390
Qala-i-kah,Farah,,,0,15000,14500,29500,15000,14500,29500,1390
Sheibkoh,Farah,,,0,11400,11000,22400,11400,11000,22400,1390
Bala Blook,Farah,,,0,35200,33200,68400,35200,33200,68400,1390
Anar Dara,Farah,,,0,13600,13000,26600,13600,13000,26600,1390
Bakwa,Farah,,,0,17400,16500,33900,17400,16500,33900,1390
Lash-i- Jaween,Farah,,,0,13700,13000,26700,13700,13000,26700,1390
Gulestan,Farah,,,0,21200,20200,41400,21200,20200,41400,1390
Pur Chaman,Farah,,,0,26500,24600,51100,26500,24600,51100,1390
province Center (Zaranj),Nimroz,12400,11900,24300,15200,14400,29600,27600,26300,53900,1390
Kang,Nimroz,,,0,10900,10600,21500,10900,10600,21500,1390
Asl-i-chakhansur,Nimroz,,,0,11600,11100,22700,11600,11100,22700,1390
Char Burjak,Nimroz,,,0,13000,12300,25300,13000,12300,25300,1390
Khashrod,Nimroz,,,0,12400,11900,24300,12400,11900,24300,1390
Dularam,Nimroz,,,0,3200,3000,6200,3200,3000,6200,1390
province Center (Kabul),Kabul,1702300,1586700,3289000,,,0,1702300,1586700,3289000,1391
Paghman,Kabul,10600,9800,20400,50200,47500,97700,60800,57300,118100,1391
Chahar Asyab,Kabul,,,0,18500,17100,35600,18500,17100,35600,1391
Bagrami,Kabul,,,0,27600,26300,53900,27600,26300,53900,1391
Deh Sabz,Kabul,,,0,27000,25600,52600,27000,25600,52600,1391
Shakar Dara,Kabul,,,0,40700,39300,80000,40700,39300,80000,1391
Musahi,Kabul,,,0,11700,11100,22800,11700,11100,22800,1391
Mir Bacha kot,Kabul,,,0,25700,25100,50800,25700,25100,50800,1391
Khak-i-Jabar,Kabul,,,0,7200,6700,13900,7200,6700,13900,1391
Kalakan,Kabul,,,0,15100,14400,29500,15100,14400,29500,1391
Guldara,Kabul,,,0,11400,10900,22300,11400,10900,22300,1391
Farza,Kabul,,,0,10700,10200,20900,10700,10200,20900,1391
Estalef,Kabul,,,0,16700,16000,32700,16700,16000,32700,1391
Qara Bagh,Kabul,,,0,37800,36500,74300,37800,36500,74300,1391
Surubi,Kabul,,,0,27400,26500,53900,27400,26500,53900,1391
province Center (Mahmood Raqi),Kapisa,800,600,1400,30700,30300,61000,31500,30900,62399.996,1391
Hissa-e-Duwumi Kohistan,Kapisa,,,0,22200,21600,43800,22200,21600,43800,1391
Koh Band,Kapisa,,,0,11400,11400,22800,11400,11400,22800,1391
Hissa-e-Awali Kohistan,Kapisa,,,0,33400,32800,66200.008,33400,32800,66200.008,1391
Nijrab,Kapisa,,,0,55200,54100,109300,55200,54100,109300,1391
Tagab,Kapisa,,,0,39300,39300,78600,39300,39300,78600,1391
Alasai,Kapisa,,,0,18800,17900,36700,18800,17900,36700,1391
province Center (Charikar),Parwan,27300,26600,53899.996,59800,57500,117300,87100,84100,171200,1391
Bagram,Parwan,,,0,50900,49900,100800,50900,49900,100800,1391
Shinwari,Parwan,,,0,20200,19700,39900,20200,19700,39900,1391
Saidkheil,Parwan,,,0,22600,21700,44300,22600,21700,44300,1391
Jabull saraj,Parwan,800,900,1700,30600,29800,60400,31400,30700,62100,1391
Salang,Parwan,,,0,12700,12600,25300,12700,12600,25300,1391
syahgird ('Ghurband),Parwan,,,0,47000,47100,94100,47000,47100,94100,1391
Koh-e- Safi,Parwan,,,0,15200,15000,30200,15200,15000,30200,1391
Surkhi parsa,Parwan,,,0,20200,19500,39700,20200,19500,39700,1391
Shaykh Ali,Parwan,,,0,12200,11800,24000,12200,11800,24000,1391
province Center (Maidan Shahr),Wardak,1400,1400,2800,18500,17800,36300,19900,19200,39100,1391
Nerkh,Wardak,,,0,28600,26800,55400,28600,26800,55400,1391
Jalrez,Wardak,,,0,26300,25300,51600,26300,25300,51600,1391
Chak-e- Wardak,Wardak,,,0,42100,40000,82100,42100,40000,82100,1391
Sayyid Abad,Wardak,,,0,57800,55100,112900,57800,55100,112900,1391
Daimir Dad,Wardak,,,0,15300,14900,30200,15300,14900,30200,1391
Hissa-e- awali Behsud,Wardak,,,0,18300,17700,36000,18300,17700,36000,1391
Jaghatoo,Wardak,,,0,22600,21800,44400,22600,21800,44400,1391
Markaz-e- Behsud,Wardak,,,0,58800,57100,115900,58800,57100,115900,1391
province Center(Puli Alam),Logar,2600,2500,5100,49500,48100,97600,52100,50600,102700,1391
Baraki Barak,Logar,2100,2100,4200,41200,39800,81000,43300,41900,85200.008,1391
Charkh,Logar,,,0,21900,21200,43100,21900,21200,43100,1391
khushi,Logar,,,0,11900,11500,23400,11900,11500,23400,1391
Mohammad Agha,Logar,,,0,37500,35900,73400,37500,35900,73400,1391
Khar war,Logar,,,0,12900,12600,25500,12900,12600,25500,1391
Azra,Logar,,,0,10200,9600,19800,10200,9600,19800,1391
province Center (Jalalabad),Ningarhar,106300,100200,206500,,,0,106300,100200,206500,1391
Behsud,Ningarhar,,,0,56100,54400,110500,56100,54400,110500,1391
Surkh Rud,Ningarhar,,,0,60300,56800,117100,60300,56800,117100,1391
Chapar har,Ningarhar,,,0,29800,28800,58600,29800,28800,58600,1391
Kama,Ningarhar,,,0,38300,36400,74700,38300,36400,74700,1391
Kuzkunar,Ningarhar,,,0,27500,25900,53400,27500,25900,53400,1391
Rodat,Ningarhar,,,0,34500,32700,67200,34500,32700,67200,1391
Khogyani,Ningarhar,2300,2200,4500,62800,59500,122300,65100,61700,126800,1391
Bati Kot,Ningarhar,,,0,37500,36100,73600,37500,36100,73600,1391
Deh Bala,Ningarhar,,,0,20100,19100,39200,20100,19100,39200,1391
Pachir Waagam,Ningarhar,,,0,21300,20100,41399.996,21300,20100,41399.996,1391
Darah -e- Noor,Ningarhar,,,0,20000,19200,39200,20000,19200,39200,1391
Kott,Ningarhar,,,0,25600,25000,50600,25600,25000,50600,1391
Goshta,Ningarhar,,,0,13500,13000,26500,13500,13000,26500,1391
Achin,Ningarhar,,,0,49600,47900,97500,49600,47900,97500,1391
Shinwar,Ningarhar,,,0,29700,28600,58300,29700,28600,58300,1391
Muhmand ِِDara,Ningarhar,,,0,22400,21300,43700,22400,21300,43700,1391
Lalpoor,Ningarhar,,,0,10200,9700,19900,10200,9700,19900,1391
Sher Zad,Ningarhar,,,0,32800,31600,64400,32800,31600,64400,1391
Nazyan,Ningarhar,,,0,7400,6900,14300,7400,6900,14300,1391
Hesarak,Ningarhar,,,0,15300,14600,29900,15300,14600,29900,1391
Dur Baba,Ningarhar,,,0,11700,11000,22700,11700,11000,22700,1391
province Center (Mehterlam),Laghman,2500,2300,4800,62200,59000,121200,64699.996,61300,126000,1391
Qarghayee,Laghman,,,0,48800,46500,95300,48800,46500,95300,1391
Alishing,Laghman,,,0,35400,33900,69300,35400,33900,69300,1391
Alingar,Laghman,,,0,48200,45800,94000,48200,45800,94000,1391
Dawlat Shah,Laghman,,,0,16600,15800,32400.002,16600,15800,32400.002,1391
Bad pakh,Laghman,,,0,3600,3500,7100,3600,3500,7100,1391
province Center (Bazarak),Panjshir,,,0,9400,8900,18300,9400,8900,18300,1391
Rukha,Panjshir,,,0,11400,10800,22199.998,11400,10800,22199.998,1391
Darah,Panjshir,,,0,6800,6600,13400.001,6800,6600,13400.001,1391
Hissa-e- Awal (Khinj),Panjshir,,,0,19900,19000,38900,19900,19000,38900,1391
Unaba,Panjshir,,,0,9000,8400,17400,9000,8400,17400,1391
Shutul,Panjshir,,,0,5400,5300,10700,5400,5300,10700,1391
Paryan,Panjshir,,,0,7300,7100,14400.001,7300,7100,14400.001,1391
Ab shar,Panjshir,,,0,5500,5300,10800,5500,5300,10800,1391
province Center (Pul-i-Khumri),Baghlan,51800,49300,101100,52700,49800,102500,104500,99100,203600,1391
Dahana-e-Ghuri,Baghlan,900,700,1600,28600,27100,55700,29500,27800,57300,1391
Dooshi,Baghlan,,,0,33200,31800,65000,33200,31800,65000,1391
Nahreen,Baghlan,2500,2300,4800,32000,30400,62400,34500,32700,67200,1391
Baghlan-e- Jadeed,Baghlan,32700,32400,65100,52100,50000,102100,84800,82400,167200,1391
Khenjan,Baghlan,,,0,15100,14500,29600,15100,14500,29600,1391
Andarab,Baghlan,,,0,12700,12100,24800,12700,12100,24800,1391
Deh Salah,Baghlan,,,0,16100,15000,31100,16100,15000,31100,1391
Khwaja hejran (Jalga),Baghlan,,,0,12000,11200,23200,12000,11200,23200,1391
Burka,Baghlan,,,0,26300,24900,51200,26300,24900,51200,1391
Talah-o-barfak,Baghlan,,,0,15200,14200,29400,15200,14200,29400,1391
Pul –e-Hisar,Baghlan,,,0,13900,12900,26800,13900,12900,26800,1391
Khost –o-Fereng,Baghlan,,,0,31500,29800,61300,31500,29800,61300,1391
Gozargah-e- Noor,Baghlan,,,0,5200,4700,9900,5200,4700,9900,1391
Freng-o-Gharoo,Baghlan,,,0,8200,7900,16100,8200,7900,16100,1391
province Center (Bamyan),Bamyan,6000,6000,12000,34400,34500,68900,40400,40500,80900,1391
Shebar,Bamyan,,,0,14900,13800,28699.998,14900,13800,28699.998,1391
Saighan,Bamyan,,,0,11900,11400,23300,11900,11400,23300,1391
Kohmard,Bamyan,,,0,18000,17300,35300,18000,17300,35300,1391
Yakawlang,Bamyan,,,0,43200,41800,85000,43200,41800,85000,1391
Panjab,Bamyan,,,0,33500,32800,66300,33500,32800,66300,1391
Waras,Bamyan,,,0,53800,52200,106000,53800,52200,106000,1391
province Center(Ghazni),Ghazni,28800,27600,56399.996,51400,49800,101200.01,80200,77400,157599.98,1391
Khogiani,Ghazni,,,0,10100,9500,19600,10100,9500,19600,1391
Khwaja Omari,Ghazni,,,0,9300,9100,18400,9300,9100,18400,1391
Waghaz,Ghazni,,,0,19300,18200,37500,19300,18200,37500,1391
Deh Yak,Ghazni,,,0,24200,23300,47500,24200,23300,47500,1391
Jaghatoo,Ghazni,,,0,15800,15100,30900,15800,15100,30900,1391
Andar,Ghazni,,,0,62300,59000,121300,62300,59000,121300,1391
Zanakhan,Ghazni,,,0,6300,5900,12200,6300,5900,12200,1391
Rashidan,Ghazni,,,0,8900,8600,17500,8900,8600,17500,1391
Nawur,Ghazni,,,0,46700,45200,91900,46700,45200,91900,1391
Qara Bagh,Ghazni,,,0,70900,67900,138800,70900,67900,138800,1391
Giro,Ghazni,,,0,18500,17000,35500,18500,17000,35500,1391
Ab Band,Ghazni,,,0,13800,12900,26700,13800,12900,26700,1391
Jaghuri,Ghazni,,,0,87400,84200,171600,87400,84200,171600,1391
Muqur,Ghazni,,,0,25400,23500,48900,25400,23500,48900,1391
Malestan,Ghazni,,,0,40100,39700,79799.992,40100,39700,79799.992,1391
Gelan,Ghazni,,,0,28800,27400,56200,28800,27400,56200,1391
Ajristan,Ghazni,,,0,14400,13600,28000,14400,13600,28000,1391
Nawa,Ghazni,,,0,14800,14100,28900,14800,14100,28900,1391
province Center(Sharan),Paktika,1400,1200,2600,23500,22500,46000,24900,23700,48600,1391
Mata Khan,Paktika,,,0,12400,11800,24199.998,12400,11800,24199.998,1391
Yosuf Khel,Paktika,,,0,6700,6400,13099.999,6700,6400,13099.999,1391
Yahya Khel,Paktika,,,0,8700,8200,16900,8700,8200,16900,1391
Sar Rawza,Paktika,,,0,11500,11000,22500,11500,11000,22500,1391
Omna,Paktika,,,0,6100,5700,11800,6100,5700,11800,1391
Zarghun Shahr,Paktika,,,0,14900,14200,29100,14900,14200,29100,1391
Gomal,Paktika,,,0,3900,3700,7600,3900,3700,7600,1391
Jani Khel,Paktika,,,0,12000,11300,23300,12000,11300,23300,1391
Surubi,Paktika,,,0,6200,5900,12099.999,6200,5900,12099.999,1391
Urgoon,Paktika,,,0,27500,26200,53700,27500,26200,53700,1391
Ziruk,Paktika,,,0,9600,9100,18700,9600,9100,18700,1391
Nika,Paktika,,,0,6300,5800,12100,6300,5800,12100,1391
Barmal,Paktika,,,0,17400,16400,33800,17400,16400,33800,1391
Giyan,Paktika,,,0,17400,16500,33900,17400,16500,33900,1391
Dela-wa-khoshmand,Paktika,,,0,12600,11900,24500,12600,11900,24500,1391
Wazakhwah,Paktika,,,0,11500,11000,22500,11500,11000,22500,1391
Wormamay,Paktika,,,0,1700,1700,3400,1700,1700,3400,1391
Turwo,Paktika,,,0,1000,1000,2000,1000,1000,2000,1391
province Center(Gardez),Paktia,11800,11300,23100,29600,28300,57900,41400,39600,81000,1391
Ahmad Abad,Paktia,,,0,13600,13500,27100,13600,13500,27100,1391
Zurmat,Paktia,,,0,53500,51100,104600,53500,51100,104600,1391
Shwak,Paktia,,,0,2700,2600,5300,2700,2600,5300,1391
Wuza Zadran,Paktia,,,0,17800,16700,34500,17800,16700,34500,1391
Said Karam,Paktia,,,0,27800,26400,54200,27800,26400,54200,1391
Jaji,Paktia,,,0,31400,29800,61200,31400,29800,61200,1391
Laja Ahmad khel,Paktia,,,0,11400,10700,22100,11400,10700,22100,1391
Jani Khel,Paktia,,,0,17500,16500,34000,17500,16500,34000,1391
Samkani,Paktia,,,0,24400,24100,48500,24400,24100,48500,1391
Dand Patan,Paktia,,,0,13300,12600,25900,13300,12600,25900,1391
laja mangel,Paktia,,,0,9300,9000,18300,9300,9000,18300,1391
Mirzaka,Paktia,,,0,4300,4000,8300,4300,4000,8300,1391
province Center(Khost),Khost,5700,5300,11000,62400,60300,122700.01,68100,65600,133700,1391
Manduzay (Esmayel khil),Khost,,,0,28200,26600,54800,28200,26600,54800,1391
Gurbuz,Khost,,,0,13100,12400,25500,13100,12400,25500,1391
Tanay,Khost,,,0,29500,28500,58000,29500,28500,58000,1391
Musa khel,Khost,,,0,20300,19500,39800,20300,19500,39800,1391
Nadir Shah kot,Khost,,,0,16000,15000,31000,16000,15000,31000,1391
Sabari (Yaqubi),Khost,,,0,35100,33800,68900,35100,33800,68900,1391
Tirzayee (Ali Sher),Khost,,,0,22400,21000,43400,22400,21000,43400,1391
Baak,Khost,,,0,11000,10500,21500,11000,10500,21500,1391
Qalandar,Khost,,,0,5100,4800,9900,5100,4800,9900,1391
Spera,Khost,,,0,12200,11400,23600,12200,11400,23600,1391
Shamul,Khost,,,0,6900,6400,13300,6900,6400,13300,1391
Jaji Maidan,Khost,,,0,12100,11300,23400,12100,11300,23400,1391
province Center (Asad Abad),Kunar,6800,6300,13100,9900,9400,19300,16700,15700,32400.002,1391
Mara wara,Kunar,,,0,10100,9800,19900,10100,9800,19900,1391
Watapoor,Kunar,,,0,13600,13000,26600,13600,13000,26600,1391
Narang Wa Badil,Kunar,,,0,15000,14400,29400,15000,14400,29400,1391
Sar Kani,Kunar,,,0,13500,13000,26500,13500,13000,26500,1391
Shigal Wa Sheltan,Kunar,,,0,14500,14000,28500,14500,14000,28500,1391
Dara-e- Pech,Kunar,,,0,27300,25800,53100,27300,25800,53100,1391
Bar Kunar,Kunar,,,0,10800,10500,21300,10800,10500,21300,1391
Sawkai,Kunar,,,0,17800,16900,34700,17800,16900,34700,1391
Khas Kunar,Kunar,,,0,17200,16800,34000,17200,16800,34000,1391
Ghazi Abad,Kunar,,,0,9300,8900,18200,9300,8900,18200,1391
Dangam,Kunar,,,0,8500,8000,16500,8500,8000,16500,1391
Chapa Dara,Kunar,,,0,15500,14600,30100,15500,14600,30100,1391
